2026-03-09 14:57:34,585 | ERROR | dl_model_trainer | Training failed for DL model arima: train() got an unexpected keyword argument 'epochs'
2026-03-09 14:57:35,051 | ERROR | dl_model_trainer | Training failed for DL model varima: VARIMA.__init__() got an unexpected keyword argument 'epochs'
2026-03-09 14:57:35,051 | ERROR | dl_model_trainer | Training failed for DL model nbeats: 'datetime'
2026-03-09 14:57:35,065 | ERROR | dl_model_trainer | Training failed for DL model transformer: 'datetime'
2026-03-09 15:00:57,477 | ERROR | dl_model_trainer | Training failed for DL model arima: 'datetime'
2026-03-09 15:32:00,515 | ERROR | dl_model_trainer | Training failed for DL model 'arima': Cannot compare tz-naive and tz-aware timestamps
2026-03-09 15:32:00,573 | ERROR | dl_model_trainer | Training failed for DL model 'varima': Cannot compare tz-naive and tz-aware timestamps
2026-03-09 15:32:00,648 | ERROR | dl_model_trainer | Training failed for DL model 'nbeats': Cannot compare tz-naive and tz-aware timestamps
2026-03-09 15:32:00,711 | ERROR | dl_model_trainer | Training failed for DL model 'transformer': Cannot compare tz-naive and tz-aware timestamps
2026-03-09 15:39:46,259 | INFO | dl_model_trainer | DL model 'arima' trained successfully.
2026-03-10 10:30:55,828 | INFO | dl_model_trainer | DL model 'arima' trained successfully.
2026-03-10 10:53:13,893 | INFO | dl_model_trainer | DL model 'arima' trained successfully.
2026-03-10 11:08:43,942 | INFO | dl_model_trainer | DL model 'arima' trained successfully.
2026-03-10 11:23:52,409 | INFO | dl_model_trainer | DL model 'arima' trained successfully.
2026-03-10 11:24:00,230 | INFO | dl_model_trainer | Saved DL model 'arima' for 'btc' → saved_models\btc_arima_dl.pkl
2026-03-10 11:25:26,149 | INFO | dl_model_trainer | DL model 'arima' trained successfully.
2026-03-10 11:25:31,090 | INFO | dl_model_trainer | Saved DL model 'arima' for 'btc' → saved_models\btc_arima_dl.pkl
2026-03-10 11:26:35,125 | INFO | dl_model_trainer | DL model 'arima' trained successfully.
2026-03-10 11:26:38,987 | INFO | dl_model_trainer | Saved DL model 'arima' for 'btc' → saved_models\btc_arima_dl.pkl
2026-03-10 11:37:15,346 | INFO | dl_model_trainer | DL model 'arima' trained successfully.
2026-03-10 11:37:20,487 | INFO | dl_model_trainer | Saved DL model 'arima' for 'btc' → saved_models\btc_arima_dl.pkl
2026-03-10 11:47:39,752 | INFO | dl_model_trainer | DL model 'arima' trained successfully.
2026-03-10 11:47:44,809 | INFO | dl_model_trainer | Saved DL model 'arima' for 'btc' → saved_models\btc_arima_dl.pkl
2026-03-10 11:59:19,984 | INFO | dl_model_trainer | DL model 'arima' trained successfully.
2026-03-10 11:59:24,054 | INFO | dl_model_trainer | Saved DL model 'arima' for 'btc' → saved_models\btc_arima_dl.pkl
2026-03-10 12:00:50,332 | INFO | dl_model_trainer | DL model 'varima' trained successfully.
2026-03-10 12:00:53,425 | INFO | dl_model_trainer | Saved DL model 'varima' for 'btc' → saved_models\btc_varima_dl.pkl
2026-03-10 12:15:56,399 | INFO | dl_model_trainer | DL model 'arima' trained successfully.
2026-03-10 12:15:59,837 | INFO | dl_model_trainer | Saved DL model 'arima' for 'btc' → saved_models\btc_arima_dl.pkl
2026-03-10 12:17:26,707 | INFO | dl_model_trainer | DL model 'varima' trained successfully.
2026-03-10 12:17:29,672 | INFO | dl_model_trainer | Saved DL model 'varima' for 'btc' → saved_models\btc_varima_dl.pkl
2026-03-10 12:53:53,900 | INFO | dl_model_trainer | DL model 'arima' trained successfully.
2026-03-10 12:53:59,007 | INFO | dl_model_trainer | Saved DL model 'arima' for 'btc' → saved_models\btc_arima_dl.pkl
2026-03-10 12:55:28,122 | INFO | dl_model_trainer | DL model 'varima' trained successfully.
2026-03-10 12:55:31,029 | INFO | dl_model_trainer | Saved DL model 'varima' for 'btc' → saved_models\btc_varima_dl.pkl
2026-03-10 13:30:27,183 | INFO | dl_model_trainer | DL model 'nbeats' trained successfully.
2026-03-10 13:30:34,242 | INFO | dl_model_trainer | Saved DL model 'nbeats' for 'btc' → saved_models\btc_nbeats_dl.pkl
